SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary
Oc1c(OC(=O)c2nnn[nH]2)cccc1/C=C\C,17/000001560,"InChI=1S/C11H10N4O3/c1-2-4-7-5-3-6-8(9(7)16)18-11(17)10-12-14-15-13-10/h2-6,16H,1H3,(H,12,13,14,15)/b4-2-",C11H10N4O3,246,1.15,4.57,-1.3,3.58,-20,3.0428579599285666,1
Oc1cc(C(=O)NC=S)ccc1OC(=O)C(=O)O,17/000000964,"InChI=1S/C10H7NO6S/c12-6-3-5(8(13)11-4-18)1-2-7(6)17-10(16)9(14)15/h1-4,12H,(H,14,15)(H,11,13,18)",C10H6NO6S,268,-0.36,4.57,-6.05,3.58,-40,2.8077144644534524,1
OC(=O)Cc1cccc(c1O)OC(=O)c1nnn[nH]1,17/000001485,"InChI=1S/C10H8N4O5/c15-7(16)4-5-2-1-3-6(8(5)17)19-10(18)9-11-13-14-12-9/h1-3,17H,4H2,(H,15,16)(H,11,12,13,14)",C10H8N4O5,264,-0.25,4.57,-0.26,3.58,0,2.8284524268336604,1
Oc1c(OC(=O)c2nnc[nH]2)cccc1c1cn[nH]c1N,17/000000158,"InChI=1S/C12H10N6O3/c13-10-7(4-15-17-10)6-2-1-3-8(9(6)19)21-12(20)11-14-5-16-18-11/h1-5,19H,(H3,13,15,17)(H,14,16,18)",C12H10N6O3,286,2.46,4.57,-2.03,3.58,-120,3.2499113127398607,1
OC(=O)c1c(S)cccc1COC(=O)C/C=C/c1csc(c1)Cl,12/000000045,"InChI=1S/C16H13ClO4S2/c17-13-7-10(9-23-13)3-1-6-14(18)21-8-11-4-2-5-12(22)15(11)16(19)20/h1-5,7,9,22H,6,8H2,(H,19,20)/b3-1+",C16H13O4S2Cl,368,3.68,4.57,-0.51,5.09,-60,3.0685267922046036,1
C#CCOc1cc(cc(c1O)OC(=O)c1nnc[nH]1)CON,17/000001045,"InChI=1S/C13H12N4O5/c1-2-3-20-9-4-8(6-21-14)5-10(11(9)18)22-13(19)12-15-7-16-17-12/h1,4-5,7,18H,3,6,14H2,(H,15,16,17)",C13H12N4O5,304,1.02,4.57,-4.45,24.7,-20,3.3851191388244732,1
Clc1cc(Nc2nc(cs2)CCOCCC[NH3+])c(c(c1)C(=O)N)I,18/000000009,"InChI=1S/C15H18ClIN4O2S/c16-9-6-11(14(19)22)13(17)12(7-9)21-15-20-10(8-24-15)2-5-23-4-1-3-18/h6-8H,1-5,18H2,(H2,19,22)(H,20,21)/p+1",C15H19N4O2SClI,481,2.15,4.57,0.56,5.09,-60,3.3175347557695813,1
ON[C@H](C(=O)Cc1nnc(s1)C/C=C\c1nnc[nH]1)c1n[nH]cc1Br,1/000000484,"InChI=1S/C13H13BrN8O2S/c14-7-5-16-21-12(7)13(22-24)8(23)4-11-20-19-10(25-11)3-1-2-9-15-6-17-18-9/h1-2,5-6,13,22,24H,3-4H2,(H,16,21)(H,15,17,18)/b2-1-/t13-/m1/s1",C13H13N8O2SBr,425,2.24,4.57,1.54,3.84,-170,4.735763922480617,1
Oc1c(OC(=O)C(=O)O)cccc1CCC,17/000001052,"InChI=1S/C11H12O5/c1-2-4-7-5-3-6-8(9(7)12)16-11(15)10(13)14/h3,5-6,12H,2,4H2,1H3,(H,13,14)",C11H11O5,223,1.19,4.57,-2.47,3.58,-20,2.236003573738314,1
OCC#CCc1nnc(s1)CC(=O)[C@H](c1n[nH]cc1Br)NO,1/000000567,"InChI=1S/C12H12BrN5O3S/c13-7-6-14-17-11(7)12(18-21)8(20)5-10-16-15-9(22-10)3-1-2-4-19/h6,12,18-19,21H,3-5H2,(H,14,17)/t12-/m1/s1",C12H12N5O3SBr,386,0.51,4.57,1.42,3.84,-150,4.469919728354254,1
Oc1c(OC(=O)c2nnn[nH]2)cccc1C1=COCCC1,17/000001573,"InChI=1S/C13H12N4O4/c18-11-9(8-3-2-6-20-7-8)4-1-5-10(11)21-13(19)12-14-16-17-15-12/h1,4-5,7,18H,2-3,6H2,(H,14,15,16,17)",C13H12N4O4,288,0.94,4.57,-2.01,3.58,-180,3.358789900381728,1
OC/C=C\1/C(=NNC1=O)C(=O)Cc1oc(cc1)CO[C@H](C)C=S,1/000000977,"InChI=1S/C15H16N2O5S/c1-9(8-23)21-7-11-3-2-10(22-11)6-13(19)14-12(4-5-18)15(20)17-16-14/h2-4,8-9,18H,5-7H2,1H3,(H,17,20)/b12-4-/t9-/m1/s1",C15H16N2O5S,336,0.02,4.57,2.5,3.84,-170,4.252570247739346,1
