SMILES;Name;InChI;Formula;MW;LogP;pKd;Structure;Synthesize;Chemical
OC[C@@H]1N(C(=N)SC1)Cc1nnc([nH]1)Cc1ocnc1;12/000000192;InChI=1S/C11H14N6O2S/c12-11-17(7(4-18)5-20-11)3-10-14-9(15-16-10)1-8-2-13-6-19-8/h2,6-7,12,18H,1,3-5H2,(H,14,15,16)/b12-11-/t7-/m0/s1;C11H14N6O2S;294;0.86;4.14;2.94;3.58;-150
OC(=O)c1cc(OC)ccc1c1nnc[nH]1;12/000000043;InChI=1S/C10H9N3O3/c1-16-6-2-3-7(8(4-6)10(14)15)9-11-5-12-13-9/h2-5H,1H3,(H,14,15)(H,11,12,13);C10H9N3O3;219;2.53;4.03;-4.48;2.22;-160
OC(=O)c1c(S)cccc1COC(=O)[C@H](/C=C/c1csc(c1)Cl)NC=C;12/000000103;InChI=1S/C18H16ClNO4S2/c1-2-20-13(7-6-11-8-15(19)26-10-11)18(23)24-9-12-4-3-5-14(25)16(12)17(21)22/h2-8,10,13,20,25H,1,9H2,(H,21,22)/b7-6+/t13-/m0/s1;C18H16NO4S2Cl;409;3.74;4.84;-0.44;4.94;-190
OC(=O)/C(=C\C=S)/Nc1ccc(cc1C(=O)O)OC;12/000000124;InChI=1S/C12H11NO5S/c1-18-7-2-3-9(8(6-7)11(14)15)13-10(4-5-19)12(16)17/h2-6,13H,1H3,(H,14,15)(H,16,17)/b10-4+;C12H11NO5S;281;0.98;4.21;-7.70;3.58;-40
OC(=O)c1cc(OC)ccc1c1nc[nH]c1;12/000000062;InChI=1S/C11H10N2O3/c1-16-7-2-3-8(9(4-7)11(14)15)10-5-12-6-13-10/h2-6H,1H3,(H,12,13)(H,14,15);C11H10N2O3;218;1.76;4.01;-5.99;2.22;-160
OC(=O)C1=C(C#Cc2snnc2)NC=CC1;12/000000162;InChI=1S/C10H7N3O2S/c14-10(15)8-2-1-5-11-9(8)4-3-7-6-12-13-16-7/h1,5-6,11H,2H2,(H,14,15);C10H7N3O2S;233;2.16;4.22;-7.49;24.50;0
OC(=O)c1c(S)ccc(c1S)O;12/000000197;InChI=1S/C7H6O3S2/c8-3-1-2-4(11)5(6(3)12)7(9)10/h1-2,8,11-12H,(H,9,10);C7H6O3S2;202;1.99;4.18;-4.47;2.22;-40
OC(=O)c1ccccc1/N=C\1/N(CS)CCC1;12/000000114;InChI=1S/C12H14N2O2S/c15-12(16)9-4-1-2-5-10(9)13-11-6-3-7-14(11)8-17/h1-2,4-5,17H,3,6-8H2,(H,15,16)/b13-11+;C12H14N2O2S;250;2.10;4.25;-7.94;3.58;-40
OC(=O)c1c(ccc(c1)OC)c1nnc([nH]1)CCC=C;12/000000155;InChI=1S/C14H15N3O3/c1-3-4-5-12-15-13(17-16-12)10-7-6-9(20-2)8-11(10)14(18)19/h3,6-8H,1,4-5H2,2H3,(H,18,19)(H,15,16,17);C14H15N3O3;273;3.37;4.42;-5.49;5.09;-160
OC(=O)C1=C(C#Cc2cscc2Br)NC=CC1;12/000000136;InChI=1S/C12H8BrNO2S/c13-10-7-17-6-8(10)3-4-11-9(12(15)16)2-1-5-14-11/h1,5-7,14H,2H2,(H,15,16);C12H8NO2SBr;310;3.18;4.39;-6.59;23.40;-40
OC(=O)C1=C(C#Cc2nc(n[nH]2)S)NC=CC1;12/000000180;InChI=1S/C10H8N4O2S/c15-9(16)6-2-1-5-11-7(6)3-4-8-12-10(17)14-13-8/h1,5,11H,2H2,(H,15,16)(H2,12,13,14,17);C10H8N4O2S;248;1.74;4.58;-6.94;24.10;-20
OC(=O)C1=C(C#Cc2cscc2Br)NC=CC1;12/000000131;InChI=1S/C12H8BrNO2S/c13-10-7-17-6-8(10)3-4-11-9(12(15)16)2-1-5-14-11/h1,5-7,14H,2H2,(H,15,16);C12H8NO2SBr;310;3.18;4.30;-7.07;23.40;-20
OC(=O)C1=C(C#Cc2snnc2)NC=CC1;12/000000173;InChI=1S/C10H7N3O2S/c14-10(15)8-2-1-5-11-9(8)4-3-7-6-12-13-16-7/h1,5-6,11H,2H2,(H,14,15);C10H7N3O2S;233;2.16;4.16;-7.85;24.50;0
OC(=O)C1=C(C#Cc2cscc2Br)NC=CC1;12/000000141;InChI=1S/C12H8BrNO2S/c13-10-7-17-6-8(10)3-4-11-9(12(15)16)2-1-5-14-11/h1,5-7,14H,2H2,(H,15,16);C12H8NO2SBr;310;3.18;4.41;-6.00;23.40;0
Oc1ccc(c(c1)C(=O)O)c1ccccc1;12/000000005;InChI=1S/C13H10O3/c14-10-6-7-11(12(8-10)13(15)16)9-4-2-1-3-5-9/h1-8,14H,(H,15,16);C13H10O3;214;3.17;4.47;-5.00;1.00;-160
OC(=O)c1c(O)c(OC)ccc1COC(=O)C/C=C/C=C;12/000000186;InChI=1S/C15H16O6/c1-3-4-5-6-12(16)21-9-10-7-8-11(20-2)14(17)13(10)15(18)19/h3-5,7-8,17H,1,6,9H2,2H3,(H,18,19)/b5-4+;C15H16O6;292;1.78;4.05;-3.05;5.09;-110
OC(=O)C1=C(C#Cc2nc(n[nH]2)S)NC=CC1;12/000000179;InChI=1S/C10H8N4O2S/c15-9(16)6-2-1-5-11-7(6)3-4-8-12-10(17)14-13-8/h1,5,11H,2H2,(H,15,16)(H2,12,13,14,17);C10H8N4O2S;248;1.74;4.31;-6.32;24.10;-20
Oc1ccc(c(c1)C(=O)O)C(=O)CCCNCc1occn1;12/000000081;InChI=1S/C15H16N2O5/c18-10-3-4-11(12(8-10)15(20)21)13(19)2-1-5-16-9-14-17-6-7-22-14/h3-4,6-8,16,18H,1-2,5,9H2,(H,20,21);C15H16N2O5;304;0.42;4.23;-7.66;5.09;-40
OC(=O)c1cc(OS(=O)(=O)N)ccc1c1ncsc1;12/000000011;InChI=1S/C10H8N2O5S2/c11-19(15,16)17-6-1-2-7(8(3-6)10(13)14)9-4-18-5-12-9/h1-5H,(H,13,14)(H2,11,15,16);C10H8N2O5S2;300;0.82;4.19;-3.55;5.09;-180
Oc1ccc(c(c1)C(=O)O)c1nnc(o1)S;12/000000008;InChI=1S/C9H6N2O4S/c12-4-1-2-5(6(3-4)8(13)14)7-10-11-9(16)15-7/h1-3,12H,(H,11,16)(H,13,14);C9H6N2O4S;238;2.49;4.25;-3.69;2.22;-120
OC(=O)C1=C(C#Cc2cscc2Br)NC=CC1;12/000000142;InChI=1S/C12H8BrNO2S/c13-10-7-17-6-8(10)3-4-11-9(12(15)16)2-1-5-14-11/h1,5-7,14H,2H2,(H,15,16);C12H8NO2SBr;310;3.18;4.22;-7.58;23.40;-20
OC(=O)C1=C(C#Cc2cscc2Br)NC=CC1;12/000000140;InChI=1S/C12H8BrNO2S/c13-10-7-17-6-8(10)3-4-11-9(12(15)16)2-1-5-14-11/h1,5-7,14H,2H2,(H,15,16);C12H8NO2SBr;310;3.18;4.60;-7.30;23.40;-20
OC(=O)c1cn[nH]c1/C=C/[C@]1(C=C)C=C(CN1)CSC;12/000000066;InChI=1S/C14H17N3O2S/c1-3-14(6-10(7-15-14)9-20-2)5-4-12-11(13(18)19)8-16-17-12/h3-6,8,15H,1,7,9H2,2H3,(H,16,17)(H,18,19)/b5-4+/t14-/m1/s1;C14H17N3O2S;291;1.94;4.02;-5.58;5.09;-190
