SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary,Dataset
OCCCCCC#C[C@@H](C=C)O,3/000000015,"InChI=1S/C10H16O2/c1-2-10(12)8-6-4-3-5-7-9-11/h2,10-12H,1,3-5,7,9H2/t10-/m1/s1",C10H16O2,168,0.83,4.29,2.16,2.22,-150,3.5585061707887355,1,CRAFT
O=C(c1scc(c1)CC)OC[C@H]1C[N@H+](S(=O)=O)CC[NH2+]1,2/000000007,"InChI=1S/C12H18N2O4S2/c1-2-9-5-11(19-8-9)12(15)18-7-10-6-14(20(16)17)4-3-13-10/h5,8,10,13,20H,2-4,6-7H2,1H3/p+2/t10-/m1/s1",C12H20N2O4S2,320,-0.26,4.29,1.12,3.84,-170,5.538621049179103,1,CRAFT
SC[C@@H](NCC#CCO)C=S,6/000000136,"InChI=1S/C7H11NOS2/c9-4-2-1-3-8-7(5-10)6-11/h5,7-9,11H,3-4,6H2/t7-/m0/s1",C7H11NOS2,189,0.26,4.29,7.89,2.22,-150,4.60826186875505,1,CRAFT
OC/C(=C\CCC)/[C@H](c1nnc[nH]1)O,24/000000082,"InChI=1S/C9H15N3O2/c1-2-3-4-7(5-13)8(14)9-10-6-11-12-9/h4,6,8,13-14H,2-3,5H2,1H3,(H,10,11,12)/b7-4+/t8-/m1/s1",C9H15N3O2,197,0.47,4.29,7.73,3.58,-170,4.328746970220964,1,CRAFT
N1CC(=CC1)[C@@H]([NH3+])/C=C/CSc1nncn1CCCl,11/000000016,"InChI=1S/C12H18ClN5S/c13-4-6-18-9-16-17-12(18)19-7-1-2-11(14)10-3-5-15-8-10/h1-3,9,11,15H,4-8,14H2/p+1/b2-1+/t11-/m0/s1",C12H19N5SCl,300,1.82,4.29,1.3,3.58,-150,4.621445720737583,1,CRAFT
OCc1cnc(cc1)NCCOC(=O)CO[C@@H](C)c1scnc1,13/000000032,"InChI=1S/C15H19N3O4S/c1-11(13-7-16-10-23-13)22-9-15(20)21-5-4-17-14-3-2-12(8-19)6-18-14/h2-3,6-7,10-11,19H,4-5,8-9H2,1H3,(H,17,18)/t11-/m0/s1",C15H19N3O4S,337,0.29,4.29,4.9,3.58,-170,3.3550015851519337,1,CRAFT
[nH]1c(nnc1C/C=C/CCCCl)SC/C=C/[C@H]([NH3+])c1csnc1,11/000000023,"InChI=1S/C15H20ClN5S2/c16-8-4-2-1-3-7-14-19-15(21-20-14)22-9-5-6-13(17)12-10-18-23-11-12/h1,3,5-6,10-11,13H,2,4,7-9,17H2,(H,19,20,21)/p+1/b3-1+,6-5+/t13-/m0/s1",C15H21N5S2Cl,370,3.77,4.28,1.01,6.77,-170,4.7969140264419865,1,CRAFT
Oc1c(cccc1I)NC(=O)C1=COC=CC1,18/000000008,"InChI=1S/C12H10INO3/c13-9-4-1-5-10(11(9)15)14-12(16)8-3-2-6-17-7-8/h1-2,4-7,15H,3H2,(H,14,16)",C12H10NO3I,343,2.4,4.28,-3.05,2.22,0,3.2188300433790173,1,CRAFT
SCNC1=NC[C@H](O1)C[NH3+],30/000000002,"InChI=1S/C5H11N3OS/c6-1-4-2-7-5(9-4)8-3-10/h4,10H,1-3,6H2,(H,7,8)/p+1/t4-/m1/s1",C5H12N3OS,162,-0.28,4.28,3.66,1.0,-150,5.534932327704762,1,CRAFT
O[C@H](/C=C/CNCC)c1nnc[nH]1,24/000000039,"InChI=1S/C8H14N4O/c1-2-9-5-3-4-7(13)8-10-6-11-12-8/h3-4,6-7,9,13H,2,5H2,1H3,(H,10,11,12)/b4-3+/t7-/m1/s1",C8H14N4O,182,0.75,4.28,6.34,3.58,-170,4.294305398890763,1,CRAFT
Oc1ccnc2c1NCN2C/C=C/CC,23/000000075,"InChI=1S/C11H15N3O/c1-2-3-4-7-14-8-13-10-9(15)5-6-12-11(10)14/h3-6,13H,2,7-8H2,1H3,(H,12,15)/b4-3+",C11H15N3O,205,2.06,4.28,-6.69,2.22,-80,3.3617678236339703,1,CRAFT
NCc1nnc(s1)[C@@H](/C=C/C)N,29/000000001,"InChI=1S/C7H12N4S/c1-2-3-5(9)7-11-10-6(4-8)12-7/h2-3,5H,4,8-9H2,1H3/b3-2+/t5-/m1/s1",C7H12N4S,184,-0.02,4.27,9.46,3.58,-170,3.9740754015579656,1,CRAFT
NOCc1coc(c1)C[NH2+]CC1=C[C@H](NN1)CCF,21/000000016,"InChI=1S/C12H19FN4O2/c13-2-1-10-4-11(17-16-10)5-15-6-12-3-9(7-18-12)8-19-14/h3-4,7,10,15-17H,1-2,5-6,8,14H2/p+1/t10-/m1/s1",C12H20N4O2F,271,0.43,4.27,0.7,2.22,-150,5.283712294164156,1,CRAFT
NC1=NC[C@@](O1)(CCl)C[NH3+],30/000000003,"InChI=1S/C5H10ClN3O/c6-1-5(2-7)3-9-4(8)10-5/h1-3,7H2,(H2,8,9)/p+1/t5-/m1/s1",C5H11N3OCl,164,-0.3,4.26,3.07,1.0,-150,5.373572437594872,1,CRAFT
NOCc1nccc(c1)SCc1[nH]ccc1,27/000000008,"InChI=1S/C11H13N3OS/c12-15-7-10-6-11(3-5-14-10)16-8-9-2-1-4-13-9/h1-6,13H,7-8,12H2",C11H13N3OS,235,0.53,4.26,-4.49,15.5,0,2.9847687699473493,1,CRAFT
OC(=O)Cc1cc(cc(c1)[C@H](CC)C(=O)O)CBr,30/000000027,"InChI=1S/C13H15BrO4/c1-2-11(13(17)18)10-4-8(6-12(15)16)3-9(5-10)7-14/h3-5,11H,2,6-7H2,1H3,(H,15,16)(H,17,18)/t11-/m0/s1",C13H15O4Br,315,2.25,4.25,-3.14,4.81,-170,2.887746381526659,1,CRAFT
Sc1cnc(nc1C(=C)CNCCCN)O,20/000000019,"InChI=1S/C10H16N4OS/c1-7(5-12-4-2-3-11)9-8(16)6-13-10(15)14-9/h6,12,16H,1-5,11H2,(H,13,14,15)",C10H16N4OS,240,0.05,4.25,-3.16,3.72,0,3.6540953284951847,1,CRAFT
Oc1c(I)ccc(c1)O[C@H](CNCO)c1snnc1,18/000000062,"InChI=1S/C11H12IN3O3S/c12-8-2-1-7(3-9(8)17)18-10(4-13-6-16)11-5-14-15-19-11/h1-3,5,10,13,16-17H,4,6H2/t10-/m1/s1",C11H12N3O3SI,393,2.54,4.25,-6.43,3.58,-170,3.850864834956696,1,CRAFT
Sc1nnc(o1)[C@H](CO)C1=CCOC=C1,23/000000027,"InChI=1S/C9H10N2O3S/c12-5-7(6-1-3-13-4-2-6)8-10-11-9(15)14-8/h1-3,7,12H,4-5H2,(H,11,15)/t7-/m1/s1",C9H10N2O3S,226,0.94,4.25,-3.98,19.9,-150,4.642040840886065,1,CRAFT
NCc1c(ON)c(/C=C\CC2=CCNC2=O)ccc1I,18/000000037,"InChI=1S/C14H16IN3O2/c15-12-5-4-9(13(20-17)11(12)8-16)2-1-3-10-6-7-18-14(10)19/h1-2,4-6H,3,7-8,16-17H2,(H,18,19)/b2-1-",C14H16N3O2I,385,0.78,4.25,-5.96,3.72,-20,3.727415795391438,1,CRAFT
C#C[C@H](C)/C=C/c1cnc(c(c1)C(=O)NN)O,20/000000015,"InChI=1S/C12H13N3O2/c1-3-8(2)4-5-9-6-10(12(17)15-13)11(16)14-7-9/h1,4-8H,13H2,2H3,(H,14,16)(H,15,17)/b5-4+/t8-/m0/s1",C12H13N3O2,231,0.63,4.24,-6.23,17.2,-190,3.963483365134497,1,CRAFT
NN[C@](CF)(c1n[nH]c(=S)[nH]1)C=C,17/000000063,"InChI=1S/C6H10FN5S/c1-2-6(3-7,12-8)4-9-5(13)11-10-4/h2,12H,1,3,8H2,(H2,9,10,11,13)/t6-/m1/s1",C6H10N5SF,203,1.03,4.24,0.69,18.7,-150,5.031306337411701,1,CRAFT
Sc1ccc(c(c1N(=O)=O)CNCCCN)C=C,5/000000029,"InChI=1S/C12H17N3O2S/c1-2-9-4-5-11(18)12(15(16)17)10(9)8-14-7-3-6-13/h2,4-5,14,18H,1,3,6-8,13H2",C12H17N3O2S,267,1.9,4.24,-5.0,3.85,0,3.0703752376088698,1,CRAFT
C(=C\COC)\c1ccc(c(c1ONCBr)CN)I,18/000000057,"InChI=1S/C12H16BrIN2O2/c1-17-6-2-3-9-4-5-11(14)10(7-15)12(9)18-16-8-13/h2-5,16H,6-8,15H2,1H3/b3-2-",C12H16N2O2BrI,427,3.18,4.23,-4.86,15.6,-20,3.7078071182996073,1,CRAFT
NCc1c(ON)c(/C=C\C[C@H]2CC=CC2)ccc1I,18/000000077,"InChI=1S/C15H19IN2O/c16-14-9-8-12(15(19-18)13(14)10-17)7-3-6-11-4-1-2-5-11/h1-3,7-9,11H,4-6,10,17-18H2/b7-3-",C15H19N2OI,370,2.34,4.23,-6.81,3.72,-150,3.479984840960415,1,CRAFT
NN(CC)C/C=C/c1cnc(cc1)N,13/000000019,"InChI=1S/C10H16N4/c1-2-14(12)7-3-4-9-5-6-10(11)13-8-9/h3-6,8H,2,7,12H2,1H3,(H2,11,13)/b4-3+",C10H16N4,192,0.01,4.23,9.55,2.22,-20,3.0141196389465756,1,CRAFT
OC[C@H](Nc1nncs1)c1nnc(o1)S,23/000000040,"InChI=1S/C6H7N5O2S2/c12-1-3(4-9-11-6(14)13-4)8-5-10-7-2-15-5/h2-3,12H,1H2,(H,8,10)(H,11,14)/t3-/m0/s1",C6H7N5O2S2,245,1.75,4.23,-2.96,2.22,-150,3.97689737040306,1,CRAFT
N[C@@](CN)(CCl)/C=C/CBr,28/000000004,"InChI=1S/C6H12BrClN2/c7-3-1-2-6(10,4-8)5-9/h1-2H,3-5,9-10H2/b2-1+/t6-/m1/s1",C6H12N2ClBr,227,0.72,4.23,-3.33,1.0,-170,4.729302615109665,1,CRAFT
Sc1ncc(c(n1)O)C#CCCc1nnc(o1)S,27/000000013,"InChI=1S/C10H8N4O2S2/c15-8-6(5-11-9(17)12-8)3-1-2-4-7-13-14-10(18)16-7/h5H,2,4H2,(H,14,18)(H2,11,12,15,17)",C10H8N4O2S2,280,2.42,4.23,0.29,23.8,-20,3.92492040336748,1,CRAFT
Oc1ccc(c(c1Cl)C(=O)N)/C=C/CN,23/000000029,"InChI=1S/C10H11ClN2O2/c11-9-7(14)4-3-6(2-1-5-12)8(9)10(13)15/h1-4,14H,5,12H2,(H2,13,15)/b2-1+",C10H11N2O2Cl,226,0.85,4.23,-8.54,2.22,-60,2.8541346572654547,1,CRAFT
Oc1cc(C=C)cc(c1O)CBr,23/000000032,"InChI=1S/C9H9BrO2/c1-2-6-3-7(5-10)9(12)8(11)4-6/h2-4,11-12H,1,5H2",C9H9O2Br,229,2.53,4.22,-5.49,2.35,0,2.8029030998693756,1,CRAFT
SC/C=C\[C@@H](c1nnc[nH]1)N,4/000000001,"InChI=1S/C6H10N4S/c7-5(2-1-3-11)6-8-4-9-10-6/h1-2,4-5,11H,3,7H2,(H,8,9,10)/b2-1-/t5-/m0/s1",C6H10N4S,170,1.12,4.22,-2.92,2.22,-150,4.941202166521799,1,CRAFT
Oc1noc(c1)CNCC1=CCC=CO1,30/000000071,"InChI=1S/C10H12N2O3/c13-10-5-9(15-12-10)7-11-6-8-3-1-2-4-14-8/h2-5,11H,1,6-7H2,(H,12,13)",C10H12N2O3,208,1.07,4.22,1.05,2.22,0,3.8012506013213994,1,CRAFT
NN[C@H](c1n[nH]c(=S)[nH]1)/C=C\c1cscc1,17/000000078,"InChI=1S/C9H11N5S2/c10-12-7(8-11-9(15)14-13-8)2-1-6-3-4-16-5-6/h1-5,7,12H,10H2,(H2,11,13,14,15)/b2-1-/t7-/m0/s1",C9H11N5S2,253,1.36,4.22,-3.2,3.58,-190,4.2870191047961175,1,CRAFT
Sc1nnc(o1)Cc1[nH]ncc1N(=O)=O,23/000000015,"InChI=1S/C6H5N5O3S/c12-11(13)4-2-7-8-3(4)1-5-9-10-6(15)14-5/h2H,1H2,(H,7,8)(H,10,15)",C6H5N5O3S,227,2.09,4.22,-1.83,24.3,0,3.484712239683038,1,CRAFT
NNC(=O)[C@H](c1nnc[nH]1)C=C,12/000000003,"InChI=1S/C6H9N5O/c1-2-4(6(12)10-7)5-8-3-9-11-5/h2-4H,1,7H2,(H,10,12)(H,8,9,11)/t4-/m0/s1",C6H9N5O,167,-0.15,4.22,8.79,3.58,-150,4.371934142816707,1,CRAFT
Oc1c(I)ccc(c1)[C@@H](C1=NCNCN1)Br,18/000000050,"InChI=1S/C10H11BrIN3O/c11-9(10-14-4-13-5-15-10)6-1-2-7(12)8(16)3-6/h1-3,9,13,16H,4-5H2,(H,14,15)/t9-/m0/s1",C10H11N3OBrI,396,2.58,4.21,-7.27,14.7,-190,4.267559238575384,1,CRAFT
NN[C@](C)(c1nnco1)Br,17/000000004,"InChI=1S/C4H7BrN4O/c1-4(5,9-6)3-8-7-2-10-3/h2,9H,6H2,1H3/t4-/m1/s1",C4H7N4OBr,207,0.81,4.21,-0.63,1.0,-170,4.6456083350307695,1,CRAFT
NCN(C/C=C/NCC1=NC[C@H](O1)/C=C\1/C=NNC1=O)C,12/000000001,"InChI=1S/C13H20N6O2/c1-19(9-14)4-2-3-15-8-12-16-7-11(21-12)5-10-6-17-18-13(10)20/h2-3,5-6,11,15H,4,7-9,14H2,1H3,(H,18,20)/b3-2+,10-5-/t11-/m1/s1",C13H20N6O2,292,-0.2,4.21,-0.15,3.58,-170,5.022779768274606,1,CRAFT
Sc1cnc(cc1)NCCCN,13/000000031,"InChI=1S/C8H13N3S/c9-4-1-5-10-8-3-2-7(12)6-11-8/h2-3,6,12H,1,4-5,9H2,(H,10,11)",C8H13N3S,183,1.1,4.21,5.0,2.22,0,2.6357922401408693,1,CRAFT
Sc1nnc(o1)[C@@H](CN)c1ccoc1N(=O)=O,23/000000051,"InChI=1S/C8H8N4O4S/c9-3-5(6-10-11-8(17)16-6)4-1-2-15-7(4)12(13)14/h1-2,5H,3,9H2,(H,11,17)/t5-/m0/s1",C8H8N4O4S,256,0.78,4.21,-2.47,24.7,-150,4.240400421990684,1,CRAFT
O[C@H](C=C)C#CCc1n[nH]cc1,3/000000008,"InChI=1S/C9H10N2O/c1-2-9(12)5-3-4-8-6-7-10-11-8/h2,6-7,9,12H,1,4H2,(H,10,11)/t9-/m1/s1",C9H10N2O,162,0.85,4.21,0.59,2.22,-150,4.682519292960681,1,CRAFT
NCc1c(ON)c(/C=C\COc2ncccn2)ccc1I,18/000000054,"InChI=1S/C14H15IN4O2/c15-12-5-4-10(13(21-17)11(12)9-16)3-1-8-20-14-18-6-2-7-19-14/h1-7H,8-9,16-17H2/b3-1-",C14H15N4O2I,398,1.41,4.21,-7.6,3.72,-60,3.200457466586016,1,CRAFT
OC(=O)CNC(=O)C1=CCCCO1,30/000000037,"InChI=1S/C8H11NO4/c10-7(11)5-9-8(12)6-3-1-2-4-13-6/h3H,1-2,4-5H2,(H,9,12)(H,10,11)",C8H11NO4,185,-0.08,4.21,1.41,2.22,0,2.615035903854979,1,CRAFT
c1nnc(s1)[C@H](c1nnc[nH]1)N,24/000000079,"InChI=1S/C5H6N6S/c6-3(4-7-1-8-10-4)5-11-9-2-12-5/h1-3H,6H2,(H,7,8,10)/t3-/m0/s1",C5H6N6S,182,1.05,4.21,5.87,18.9,-150,4.3882679290304925,1,CRAFT
OCC#C[C@H](C(=O)NCCC)C1=CNCN=C1,3/000000022,"InChI=1S/C12H17N3O2/c1-2-5-15-12(17)11(4-3-6-16)10-7-13-9-14-8-10/h7-8,11,13,16H,2,5-6,9H2,1H3,(H,15,17)/t11-/m0/s1",C12H17N3O2,235,-0.36,4.21,0.89,20.2,-170,4.366902345067606,1,CRAFT
Oc1c(OP(=O)(O)O)cccc1I,18/000000002,"InChI=1S/C6H6IO5P/c7-4-2-1-3-5(6(4)8)12-13(9,10)11/h1-3,8H,(H2,9,10,11)",C6H6O5PI,316,0.85,4.2,-3.26,12.7,0,2.707780473990727,1,CRAFT
c1cc(c2c(c1COC)COC2=O)CNNCCC[NH3+],19/000000003,"InChI=1S/C14H21N3O3/c1-19-8-11-4-3-10(7-17-16-6-2-5-15)13-12(11)9-20-14(13)18/h3-4,16-17H,2,5-9,15H2,1H3/p+1",C14H22N3O3,280,1.21,4.2,-5.87,2.35,-80,3.6070744998448783,1,CRAFT
OCC#CCNc1nc(ncc1)CCCNOC[C@H]1NCC1,6/000000139,"InChI=1S/C15H23N5O2/c21-11-2-1-7-17-15-6-10-18-14(20-15)4-3-8-19-22-12-13-5-9-16-13/h6,10,13,16,19,21H,3-5,7-9,11-12H2,(H,17,18,20)/t13-/m0/s1",C15H23N5O2,305,0.18,4.2,7.58,3.58,-150,3.845382678106116,1,CRAFT
[nH]1c(nnc1C/C=C/CCCC)SC/C=C/[C@H]([NH3+])c1csnc1,11/000000021,"InChI=1S/C16H23N5S2/c1-2-3-4-5-6-9-15-19-16(21-20-15)22-10-7-8-14(17)13-11-18-23-12-13/h5-8,11-12,14H,2-4,9-10,17H2,1H3,(H,19,20,21)/p+1/b6-5+,8-7+/t14-/m0/s1",C16H24N5S2,350,3.78,4.2,0.64,6.77,-190,4.655703923112481,1,CRAFT
C=CCOc1c(cc(cc1C[NH3+])C=C)n1c(=O)[nH]c(=O)[nH]c1=O,30/000000026,"InChI=1S/C15H16N4O4/c1-3-5-23-12-10(8-16)6-9(4-2)7-11(12)19-14(21)17-13(20)18-15(19)22/h3-4,6-7H,1-2,5,8,16H2,(H2,17,18,20,21,22)/p+1",C15H17N4O4,317,0.41,4.2,-6.35,23.6,-200,3.623205707039768,1,CRAFT
Oc1cc(nc2c1NCN2CC=C)C=C,23/000000072,"InChI=1S/C11H13N3O/c1-3-5-14-7-12-10-9(15)6-8(4-2)13-11(10)14/h3-4,6,12H,1-2,5,7H2,(H,13,15)",C11H13N3O,203,2.09,4.19,-6.75,13.0,-60,3.702624327595125,1,CRAFT
OCc1oc2c(n1)c(ccc2C=S)CS,18/000000097,"InChI=1S/C10H9NO2S2/c12-3-8-11-9-6(4-14)1-2-7(5-15)10(9)13-8/h1-2,5,12,14H,3-4H2",C10H9NO2S2,239,0.72,4.19,-0.16,16.8,-40,3.6817528990236976,1,CRAFT
OCCc1nc(/C=C\[C@@H](c2nscc2)NN)ccc1,17/000000076,"InChI=1S/C13H16N4OS/c14-16-12(13-7-9-19-17-13)5-4-10-2-1-3-11(15-10)6-8-18/h1-5,7,9,12,16,18H,6,8,14H2/b5-4-/t12-/m0/s1",C13H16N4OS,276,0.27,4.19,-4.88,3.58,-190,3.986790895562757,1,CRAFT
OC[C@H](c1nnc([nH]1)CNC)/C=C/NCC=C,17/000000086,"InChI=1S/C11H19N5O/c1-3-5-13-6-4-9(8-17)11-14-10(7-12-2)15-16-11/h3-4,6,9,12-13,17H,1,5,7-8H2,2H3,(H,14,15,16)/b6-4+/t9-/m1/s1",C11H19N5O,237,0.65,4.19,-0.13,5.09,-170,4.574011960452223,1,CRAFT
c1n[nH]c(n1)[C@H](/C=C(/CC)\C1=CCCCO1)NN,17/000000016,"InChI=1S/C12H19N5O/c1-2-9(11-5-3-4-6-18-11)7-10(16-13)12-14-8-15-17-12/h5,7-8,10,16H,2-4,6,13H2,1H3,(H,14,15,17)/b9-7-/t10-/m0/s1",C12H19N5O,249,0.52,4.19,-4.92,2.22,-170,4.284429443656836,1,CRAFT
OC(=S)Nc1ccccc1c1oc(c(c1)C(=O)O)CCO,15/000000007,"InChI=1S/C14H13NO5S/c16-6-5-11-9(13(17)18)7-12(20-11)8-3-1-2-4-10(8)15-14(19)21/h1-4,7,16H,5-6H2,(H,17,18)(H2,15,19,21)",C14H13NO5S,307,1.17,4.19,-5.36,21.7,-160,2.827865901599278,1,CRAFT
O[C@@H](c1nnc[nH]1)c1ncc(cc1)CCNN,24/000000086,"InChI=1S/C10H14N6O/c11-14-4-3-7-1-2-8(12-5-7)9(17)10-13-6-15-16-10/h1-2,5-6,9,14,17H,3-4,11H2,(H,13,15,16)/t9-/m1/s1",C10H14N6O,234,-0.28,4.18,8.58,3.72,-150,3.7858255397300873,1,CRAFT
Oc1c(Cl)c(/C(=C/N)/c2noc(c2)CC(=O)N)ccc1Cl,21/000000007,"InChI=1S/C13H11Cl2N3O3/c14-9-2-1-7(12(15)13(9)20)8(5-16)10-3-6(21-18-10)4-11(17)19/h1-3,5,20H,4,16H2,(H2,17,19)/b8-5-",C13H11N3O3Cl2,327,1.83,4.18,-4.41,3.72,-40,3.2305796528208326,1,CRAFT
Sc1ccc(c2c1COC2=O)Nc1nccc(n1)c1ncn[nH]1,19/000000009,"InChI=1S/C14H10N6O2S/c21-13-11-7(5-22-13)10(23)2-1-8(11)18-14-15-4-3-9(19-14)12-16-6-17-20-12/h1-4,6,23H,5H2,(H,15,18,19)(H,16,17,20)",C14H10N6O2S,326,1.63,4.18,-4.94,23.4,-120,3.178451368840653,1,CRAFT
OC[C@H](c1cc2[nH]ccc2c(c1N(=O)=O)CCl)F,27/000000016,"InChI=1S/C11H10ClFN2O3/c12-4-8-6-1-2-14-10(6)3-7(9(13)5-16)11(8)15(17)18/h1-3,9,14,16H,4-5H2/t9-/m1/s1",C11H10N2O3FCl,272,2.02,4.18,-5.54,19.0,-190,3.6881925942425138,1,CRAFT
Oc1c(NC(=O)c2n[nH]cc2CC)cccc1I,18/000000080,"InChI=1S/C12H12IN3O2/c1-2-7-6-14-16-10(7)12(18)15-9-5-3-4-8(13)11(9)17/h3-6,17H,2H2,1H3,(H,14,16)(H,15,18)",C12H12N3O2I,357,2.74,4.18,-3.39,2.22,-20,2.913910195222684,1,CRAFT
OC(=O)c1[nH]ccc1[C@H](c1ccc(c(c1Br)O)Br)O,20/000000003,"InChI=1S/C12H9Br2NO4/c13-7-2-1-5(8(14)11(7)17)10(16)6-3-4-15-9(6)12(18)19/h1-4,10,15-17H,(H,18,19)/t10-/m0/s1",C12H9NO4Br2,391,2.32,4.17,-5.81,2.22,-170,3.523561969195006,1,CRAFT
[nH]1nc([nH]c1=O)CCCC#CCN,8/000000006,"InChI=1S/C8H12N4O/c9-6-4-2-1-3-5-7-10-8(13)12-11-7/h1,3,5-6,9H2,(H2,10,11,12,13)",C8H12N4O,180,-0.03,4.17,8.15,2.22,0,3.4102206231896988,1,CRAFT
Oc1c(Cl)ccc(c1Cl)/C(=C(\c1sccn1)/N)/c1nocc1,21/000000004,"InChI=1S/C14H9Cl2N3O2S/c15-8-2-1-7(11(16)13(8)20)10(9-3-5-21-19-9)12(17)14-18-4-6-22-14/h1-6,20H,17H2/b12-10-",C14H9N3O2SCl2,353,3.25,4.17,-7.26,3.58,-60,3.312353133861695,1,CRAFT
c1nnc(o1)[C@@](CC1=NCCCO1)(NN)Br,17/000000056,"InChI=1S/C8H12BrN5O2/c9-8(14-10,7-13-12-5-16-7)4-6-11-2-1-3-15-6/h5,14H,1-4,10H2/t8-/m1/s1",C8H12N5O2Br,290,0.6,4.17,-4.57,2.22,-170,4.692241847271035,1,CRAFT
OC(=O)c1coc(c1CN)c1sc2c(c1)[nH]cc2,15/000000011,"InChI=1S/C12H10N2O3S/c13-4-6-7(12(15)16)5-17-11(6)10-3-8-9(18-10)1-2-14-8/h1-3,5,14H,4,13H2,(H,15,16)",C12H10N2O3S,262,0.33,4.17,-4.05,3.72,-200,3.273062484815444,1,CRAFT
OCc1cnc(cc1)NCCOC(=O)[C@H](c1occc1)OCC,13/000000044,"InChI=1S/C16H20N2O5/c1-2-21-15(13-4-3-8-22-13)16(20)23-9-7-17-14-6-5-12(11-19)10-18-14/h3-6,8,10,15,19H,2,7,9,11H2,1H3,(H,17,18)/t15-/m0/s1",C16H20N2O5,320,0.54,4.16,3.98,5.09,-170,3.0828785082288563,1,CRAFT
NN[C@H](c1nc(n[nH]1)CC#CC)C=C,17/000000008,"InChI=1S/C9H13N5/c1-3-5-6-8-11-9(14-13-8)7(4-2)12-10/h4,7,12H,2,6,10H2,1H3,(H,11,13,14)/t7-/m0/s1",C9H13N5,191,0.35,4.16,2.04,18.5,-170,4.608329218741673,1,CRAFT
c1nnc(o1)[C@@](Cc1cccc2n1ncn2)(NN)Br,17/000000039,"InChI=1S/C10H10BrN7O/c11-10(17-12,9-16-14-6-19-9)4-7-2-1-3-8-13-5-15-18(7)8/h1-3,5-6,17H,4,12H2/t10-/m1/s1",C10H10N7OBr,324,0.39,4.16,-4.66,2.35,-190,4.181636489968351,1,CRAFT
OCC(=O)OCc1nc2c(c(c1)O)NCN2CC=C,23/000000062,"InChI=1S/C12H15N3O4/c1-2-3-15-7-13-11-9(17)4-8(14-12(11)15)6-19-10(18)5-16/h2,4,13,16H,1,3,5-7H2,(H,14,17)",C12H15N3O4,265,0.47,4.16,-8.12,17.2,-80,3.3274756488946187,1,CRAFT
OC(=O)c1cnc(c(c1)N(=O)=O)N,13/000000007,"InChI=1S/C6H5N3O4/c7-5-4(9(12)13)1-3(2-8-5)6(10)11/h1-2H,(H2,7,8)(H,10,11)",C6H5N3O4,183,0.19,4.16,6.3,1.0,0,2.237894953628736,1,CRAFT
NC(=O)CC/C=C/[C@H](c1nnc[nH]1)N,24/000000081,"InChI=1S/C8H13N5O/c9-6(8-11-5-12-13-8)3-1-2-4-7(10)14/h1,3,5-6H,2,4,9H2,(H2,10,14)(H,11,12,13)/b3-1+/t6-/m1/s1",C8H13N5O,195,-0.38,4.16,8.27,3.58,-150,4.1525599879724435,1,CRAFT
Oc1nccc(n1)C(C=C)(C(=O)O)C(=O)O,20/000000020,"InChI=1S/C9H8N2O5/c1-2-9(6(12)13,7(14)15)5-3-4-10-8(16)11-5/h2-4H,1H2,(H,12,13)(H,14,15)(H,10,11,16)",C9H8N2O5,224,-0.03,4.16,-2.93,15.6,-150,3.5471221017219587,1,CRAFT
Sc1nnc(s1)C[C@@](NN)(c1nnco1)Br,17/000000029,"InChI=1S/C6H7BrN6OS2/c7-6(13-8,4-11-9-2-14-4)1-3-10-12-5(15)16-3/h2,13H,1,8H2,(H,12,15)/t6-/m1/s1",C6H7N6OS2Br,323,1.55,4.15,-5.17,2.22,-170,4.87184231549846,1,CRAFT
NN[C@H](c1n[nH]c(=S)[nH]1)/C=C\C(=C)C(=O)OC,17/000000028,"InChI=1S/C9H13N5O2S/c1-5(8(15)16-2)3-4-6(12-10)7-11-9(17)14-13-7/h3-4,6,12H,1,10H2,2H3,(H2,11,13,14,17)/b4-3-/t6-/m0/s1",C9H13N5O2S,255,0.44,4.15,-2.51,3.58,-170,4.642871993897037,1,CRAFT
OC/C=C(\C)/NCc1c[nH]c(c1)CO,27/000000009,"InChI=1S/C10H16N2O2/c1-8(2-3-13)11-5-9-4-10(7-14)12-6-9/h2,4,6,11-14H,3,5,7H2,1H3/b8-2+",C10H16N2O2,196,-0.31,4.15,-3.99,2.22,-40,3.3561267395382925,1,CRAFT
S[C@H](CCc1n[nH]c(=O)[nH]1)C#CCN,8/000000016,"InChI=1S/C8H12N4OS/c9-5-1-2-6(14)3-4-7-10-8(13)12-11-7/h6,14H,3-5,9H2,(H2,10,11,12,13)/t6-/m0/s1",C8H12N4OS,212,0.15,4.15,9.46,2.22,-150,4.56444756193694,1,CRAFT
N=C1N(c2ccc(cc2C(=O)O)Cl)CCC1,15/000000015,"InChI=1S/C11H11ClN2O2/c12-7-3-4-9(8(6-7)11(15)16)14-5-1-2-10(14)13/h3-4,6,13H,1-2,5H2,(H,15,16)/b13-10-",C11H11N2O2Cl,238,2.84,4.15,-4.87,2.22,-160,2.3681809928308493,1,CRAFT
