SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary
OCC#CCc1nnc([nH]1)[C@H](C=C)O,17/000000047,"InChI=1S/C9H11N3O2/c1-2-7(14)9-10-8(11-12-9)5-3-4-6-13/h2,7,13-14H,1,5-6H2,(H,10,11,12)/t7-/m0/s1",C9H11N3O2,193,0.4,4.04,-2.37,5.09,-170,4.4692996329428585,1
OC(=O)c1cc(O)c(cc1C#CCCS(=O)=O)CC,17/000000248,"InChI=1S/C13H14O5S/c1-2-9-7-10(5-3-4-6-19(17)18)11(13(15)16)8-12(9)14/h7-8,14,19H,2,4,6H2,1H3,(H,15,16)",C13H14O5S,282,1.71,4.04,-9.5,19.5,-80,3.419657993298273,1
C#Cc1cc(c(cc1C(=O)O)O)CCF,17/000000097,"InChI=1S/C11H9FO3/c1-2-7-5-8(3-4-12)10(13)6-9(7)11(14)15/h1,5-6,13H,3-4H2,(H,14,15)",C11H9O3F,208,2.41,4.04,-5.08,3.58,0,2.948163888034685,1
Oc1cc(c(cc1CCCO)[C@H](CO)F)C,17/000000283,"InChI=1S/C12H17FO3/c1-8-5-12(16)9(3-2-4-14)6-10(8)11(13)7-15/h5-6,11,14-16H,2-4,7H2,1H3/t11-/m0/s1",C12H17O3F,228,1.03,4.04,-6.65,5.09,-190,3.248427574890231,1
O[C@H](c1nnc([nH]1)COc1cccc(c1)Br)C=C,17/000000001,"InChI=1S/C12H12BrN3O2/c1-2-10(17)12-14-11(15-16-12)7-18-9-5-3-4-8(13)6-9/h2-6,10,17H,1,7H2,(H,14,15,16)/t10-/m0/s1",C12H12N3O2Br,310,3.16,4.04,-7.42,3.58,-190,3.4270813928388755,1
Oc1c(/C=C/c2occ(c2)C(=O)N)cc(cc1)Cl,25/000000012,"InChI=1S/C13H10ClNO3/c14-10-2-4-12(16)8(5-10)1-3-11-6-9(7-18-11)13(15)17/h1-7,16H,(H2,15,17)/b3-1+",C13H10NO3Cl,263,1.96,4.04,-5.7,2.22,-60,2.7136034259919146,1
OC(=O)[C@H](C=C)c1nnc(o1)S,30/000000076,"InChI=1S/C6H6N2O3S/c1-2-3(5(9)10)4-7-8-6(12)11-4/h2-3H,1H2,(H,8,12)(H,9,10)/t3-/m1/s1",C6H6N2O3S,186,1.34,4.04,6.88,2.47,-150,4.1950153054041195,1
C=C[C@@H](c1scc(c1)C(=O)N)c1oc(=S)[nH]n1,25/000000027,"InChI=1S/C10H9N3O2S2/c1-2-6(9-12-13-10(16)15-9)7-3-5(4-17-7)8(11)14/h2-4,6H,1H2,(H2,11,14)(H,13,16)/t6-/m0/s1",C10H9N3O2S2,267,1.02,4.04,-3.24,24.8,-150,4.047352631483319,1
Sc1nc(cn1CC)c1occ(c1)C(=O)N,25/000000029,"InChI=1S/C10H11N3O2S/c1-2-13-4-7(12-10(13)16)8-3-6(5-15-8)9(11)14/h3-5H,2H2,1H3,(H2,11,14)(H,12,16)",C10H11N3O2S,237,0.85,4.04,-3.61,20.2,-100,3.269958964858821,1
c1ncc(s1)/C=C/COC[C@@H]([NH3+])c1nn[nH]c1,10/000000017,"InChI=1S/C10H13N5OS/c11-9(10-5-13-15-14-10)6-16-3-1-2-8-4-12-7-17-8/h1-2,4-5,7,9H,3,6,11H2,(H,13,14,15)/p+1/b2-1+/t9-/m1/s1",C10H14N5OS,252,-0.38,4.04,-0.95,2.22,-150,4.825311806606068,1
N(C(=O)NCCSc1ccc(c(c1)CBr)Br)C1=NCC(=O)N1,9/000000032,"InChI=1S/C13H14Br2N4O2S/c14-6-8-5-9(1-2-10(8)15)22-4-3-16-13(21)19-12-17-7-11(20)18-12/h1-2,5H,3-4,6-7H2,(H3,16,17,18,19,20,21)",C13H14N4O2SBr2,450,2.14,4.04,-6.97,3.58,-20,3.0322231090477985,1
Oc1c(I)nc(cc1)[C@@H](CC)[NH3+],30/000000306,"InChI=1S/C8H11IN2O/c1-2-5(10)6-3-4-7(12)8(9)11-6/h3-5,12H,2,10H2,1H3/p+1/t5-/m1/s1",C8H12N2OI,279,1.62,4.04,6.17,9.1,-170,4.467611459250273,1
Oc1cc(O)c(nc1CN(=O)=O)I,30/000000239,"InChI=1S/C6H5IN2O4/c7-6-5(11)1-4(10)3(8-6)2-9(12)13/h1,10-11H,2H2",C6H5N2O4I,296,0.73,4.04,6.9,12.9,0,3.6321211979726282,1
Sc1nc(cn1CCNNCC)c1occ(c1)C(=O)N,25/000000066,"InChI=1S/C12H17N5O2S/c1-2-14-15-3-4-17-6-9(16-12(17)20)10-5-8(7-19-10)11(13)18/h5-7,14-15H,2-4H2,1H3,(H2,13,18)(H,16,20)",C12H17N5O2S,295,1.22,4.03,-2.88,24.2,-140,3.5618355756112177,1
