SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary
Oc1c(NC(=O)c2ccc3c(c2)CCC3)cccc1I,18/000000001,"InChI=1S/C16H14INO2/c17-13-5-2-6-14(15(13)19)18-16(20)12-8-7-10-3-1-4-11(10)9-12/h2,5-9,19H,1,3-4H2,(H,18,20)",C16H14NO2I,379,3.91,4.66,-3.67,2.22,-40,2.1217149856748385,1
Oc1c(Cl)c(/C(=C(\C(=O)OC)/N)/c2noc(c2)CCN)ccc1Cl,21/000000021,"InChI=1S/C15H15Cl2N3O4/c1-23-15(22)13(19)11(10-6-7(4-5-18)24-20-10)8-2-3-9(16)14(21)12(8)17/h2-3,6,21H,4-5,18-19H2,1H3/b13-11-",C15H15N3O4Cl2,371,2.36,4.66,-6.66,3.58,-40,3.1777883069485977,1
Sc1nnc(o1)[C@H](CO)/C=C/CS,23/000000041,"InChI=1S/C7H10N2O2S2/c10-4-5(2-1-3-12)6-8-9-7(13)11-6/h1-2,5,10,12H,3-4H2,(H,9,13)/b2-1+/t5-/m0/s1",C7H10N2O2S2,218,1.54,4.65,-3.0,3.58,-150,4.735954359389723,1
Oc1c(Cl)ccc(c1Cl)/C(=C(\c1ncc[nH]1)/N)/c1noc(c1)CCN,21/000000031,"InChI=1S/C16H15Cl2N5O2/c17-10-2-1-9(13(18)15(10)24)12(14(20)16-21-5-6-22-16)11-7-8(3-4-19)25-23-11/h1-2,5-7,24H,3-4,19-20H2,(H,21,22)/b14-12-",C16H15N5O2Cl2,379,2.32,4.64,-7.09,3.58,-60,3.3748387087041145,1
c1[nH]c2[n+](n1)CC=C(N2)[C@H](c1nnc[nH]1)N,24/000000060,"InChI=1S/C8H10N8/c9-6(7-10-3-12-15-7)5-1-2-16-8(14-5)11-4-13-16/h1,3-4,6H,2,9H2,(H2,10,11,12,13,14,15)/p+1/t6-/m1/s1",C8H10N8,218,1.04,4.63,8.27,20.6,-190,5.380162511897805,1
Oc1c(Cl)c(/C(=C(\C2=CCOC2)/N)/c2noc(c2)CCN)ccc1Cl,21/000000028,"InChI=1S/C17H17Cl2N3O3/c18-12-2-1-11(15(19)17(12)23)14(16(21)9-4-6-24-8-9)13-7-10(3-5-20)25-22-13/h1-2,4,7,23H,3,5-6,8,20-21H2/b16-14-",C17H17N3O3Cl2,381,2.34,4.63,-6.22,3.58,-60,3.5781516757370824,1
OCc1cnc(cc1)NCCOC(=O)c1nonc1C=C,13/000000036,"InChI=1S/C13H14N4O4/c1-2-10-12(17-21-16-10)13(19)20-6-5-14-11-4-3-9(8-18)7-15-11/h2-4,7,18H,1,5-6,8H2,(H,14,15)",C13H14N4O4,290,1.52,4.63,3.4,3.58,0,2.9360328512014,1
Oc1ncc(cc1[C@@H](CNCO)Oc1ccc(c(c1)O)I)C(=O)N,18/000000079,"InChI=1S/C15H16IN3O5/c16-11-2-1-9(4-12(11)21)24-13(6-18-7-20)10-3-8(14(17)22)5-19-15(10)23/h1-5,13,18,20-21H,6-7H2,(H2,17,22)(H,19,23)/t13-/m1/s1",C15H16N3O5I,445,1.41,4.63,-6.61,19.7,-190,3.6436267840002863,1
OCc1ccnc(c1C(=C)N(=O)=O)N,13/000000021,"InChI=1S/C8H9N3O3/c1-5(11(13)14)7-6(4-12)2-3-10-8(7)9/h2-3,12H,1,4H2,(H2,9,10)",C8H9N3O3,195,0.6,4.63,7.52,2.74,0,3.141411562823116,1
O[C@@H](C/C=C/CO)/C=C/N(=O)=O,21/000000019,"InChI=1S/C7H11NO4/c9-6-2-1-3-7(10)4-5-8(11)12/h1-2,4-5,7,9-10H,3,6H2/b2-1+,5-4+/t7-/m0/s1",C7H11NO4,173,-0.08,4.63,8.51,2.22,-150,3.915941747711811,1
SC/C=C\[C@@H](C)NCC#CCO,6/000000046,"InChI=1S/C9H15NOS/c1-9(5-4-8-12)10-6-2-3-7-11/h4-5,9-12H,6-8H2,1H3/b5-4-/t9-/m1/s1",C9H15NOS,185,1.04,4.62,8.45,2.22,-170,4.4661299470125115,1
OC(=O)CNC(=O)C1=C[C@H](CCO1)CCl,30/000000063,"InChI=1S/C9H12ClNO4/c10-4-6-1-2-15-7(3-6)9(14)11-5-8(12)13/h3,6H,1-2,4-5H2,(H,11,14)(H,12,13)/t6-/m0/s1",C9H12NO4Cl,233,0.55,4.61,2.53,3.58,-150,3.5512763398170843,1
Oc1c(cccc1I)NC(=O)c1n[nH]c(c1)c1cnc(nc1)O,18/000000065,"InChI=1S/C14H10IN5O3/c15-8-2-1-3-9(12(8)21)18-13(22)11-4-10(19-20-11)7-5-16-14(23)17-6-7/h1-6,21H,(H,18,22)(H,19,20)(H,16,17,23)",C14H10N5O3I,423,2.32,4.61,-5.52,22.3,-140,2.9854394179442476,1
OCCC(=O)/C=C\c1ccc2c(c1)cccc2COC(=O)CCNN,2/000000013,"InChI=1S/C19H22N2O4/c20-21-10-8-19(24)25-13-16-3-1-2-15-12-14(5-7-18(15)16)4-6-17(23)9-11-22/h1-7,12,21-22H,8-11,13,20H2/b6-4-",C19H22N2O4,342,1.28,4.6,-2.22,20.4,-100,2.6123792968483652,1
OC(=O)COc1cnc(cc1N(=O)=O)N,13/000000015,"InChI=1S/C7H7N3O5/c8-6-1-4(10(13)14)5(2-9-6)15-3-7(11)12/h1-2H,3H2,(H2,8,9)(H,11,12)",C7H7N3O5,213,-0.13,4.6,7.17,2.35,0,2.470893888034686,1
