SMILES,Name,InChI,Formula,MW,LogP,pKd,Structure,Synthesize,Chemical,SA_Score,SA_Score_Binary
Oc1cc(c(cc1O)C=C)C/C=C\CNCC1=CC=NCN1,28/000000581,"InChI=1S/C17H21N3O2/c1-2-13-9-16(21)17(22)10-14(13)5-3-4-7-18-11-15-6-8-19-12-20-15/h2-4,6,8-10,18,20-22H,1,5,7,11-12H2/b4-3-",C17H21N3O2,299,1.83,4.06,-8.63,3.58,-40,3.83616071982412,1
OC(=O)Cc1cc2cc([nH]c2cc1CCCCCC)C(=O)O,20/000000004,"InChI=1S/C17H21NO4/c1-2-3-4-5-6-11-8-14-13(7-12(11)10-16(19)20)9-15(18-14)17(21)22/h7-9,18H,2-6,10H2,1H3,(H,19,20)(H,21,22)",C17H21NO4,303,3.14,4.06,-6.56,5.39,-120,2.360256522382217,1
Oc1c(O)cc(c(c1)C=C)C/C=C\Cc1[nH]cnc1CNC,28/000000460,"InChI=1S/C17H21N3O2/c1-3-12-8-16(21)17(22)9-13(12)6-4-5-7-14-15(10-18-2)20-11-19-14/h3-5,8-9,11,18,21-22H,1,6-7,10H2,2H3,(H,19,20)/b5-4-",C17H21N3O2,299,2.01,4.06,-7.41,5.09,-60,3.4688548708344005,1
Oc1cc(c(cc1O)C=C)C/C=C/CCC(=O)CC,28/000000112,"InChI=1S/C16H20O3/c1-3-12-10-15(18)16(19)11-13(12)8-6-5-7-9-14(17)4-2/h3,5-6,10-11,18-19H,1,4,7-9H2,2H3/b6-5+",C16H20O3,260,2.59,4.06,-6.42,3.58,-40,3.0281974642345766,1
Oc1c(O)cc(cc1)Br,17/000000019,"InChI=1S/C6H5BrO2/c7-4-1-2-5(8)6(9)3-4/h1-3,8-9H",C6H5O2Br,189,2.01,4.06,-4.92,1.0,-20,1.8680106995332508,1
Oc1cc(c(cc1O)C=C)C/C=C\CNCC(=O)NCC,28/000000517,"InChI=1S/C16H22N2O3/c1-3-12-9-14(19)15(20)10-13(12)7-5-6-8-17-11-16(21)18-4-2/h3,5-6,9-10,17,19-20H,1,4,7-8,11H2,2H3,(H,18,21)/b6-5-",C16H22N2O3,290,1.58,4.05,-6.37,3.58,-90,3.0198499864799144,1
Sc1nnc(n1N)/C(=C\CNC/C=C/CCN)/C,26/000000004,"InChI=1S/C11H20N6S/c1-9(10-15-16-11(18)17(10)13)5-8-14-7-4-2-3-6-12/h2,4-5,14H,3,6-8,12-13H2,1H3,(H,16,18)/b4-2+,9-5-",C11H20N6S,268,0.05,4.05,1.2,5.09,-80,3.842352964453453,1
Oc1cc(C(=S)C2=NOCC2)c(cc1O)C=C,28/000000265,"InChI=1S/C12H11NO3S/c1-2-7-5-10(14)11(15)6-8(7)12(17)9-3-4-16-13-9/h2,5-6,14-15H,1,3-4H2",C12H11NO3S,249,1.89,4.05,-5.85,17.7,0,3.6437310662922746,1
ON[C@@H](CC(=O)c1c(C=C)cc(c(c1)O)O)C,28/000000189,"InChI=1S/C12H15NO4/c1-3-8-5-11(15)12(16)6-9(8)10(14)4-7(2)13-17/h3,5-7,13,15-17H,1,4H2,2H3/t7-/m1/s1",C12H15NO4,237,1.41,4.05,-5.92,3.58,-170,3.60971426814453,1
O[C@@](CCF)(c1n[nH]nc1)c1ncsc1,30/000000001,"InChI=1S/C8H9FN4OS/c9-2-1-8(14,6-3-11-13-12-6)7-4-15-5-10-7/h3-5,14H,1-2H2,(H,11,12,13)/t8-/m0/s1",C8H9N4OSF,228,1.82,4.05,-0.7,2.22,-150,4.379170000098946,1
