SMILES;Name;InChI;Formula;MW;LogP;pKd;Structure;Synthesize;Chemical
O=N[C@@H](c1cc(O)c(cc1C=C)O)/C=C\Cc1oncn1;28/000000499;InChI=1S/C14H13N3O4/c1-2-9-6-12(18)13(19)7-10(9)11(17-20)4-3-5-14-15-8-16-21-14/h2-4,6-8,11,18-19H,1,5H2/b4-3-/t11-/m1/s1;C14H13N3O4;287;1.61;4.61;-5.18;23.40;-150
Oc1cc(c(cc1O)C=C)C/C=C\Cc1nscc1;28/000000171;InChI=1S/C15H15NO2S/c1-2-11-9-14(17)15(18)10-12(11)5-3-4-6-13-7-8-19-16-13/h2-4,7-10,17-18H,1,5-6H2/b4-3-;C15H15NO2S;273;3.12;4.41;-6.03;3.58;0
Oc1cc(c(cc1O)C=C)C/C=C\Cc1nscc1;28/000000168;InChI=1S/C15H15NO2S/c1-2-11-9-14(17)15(18)10-12(11)5-3-4-6-13-7-8-19-16-13/h2-4,7-10,17-18H,1,5-6H2/b4-3-;C15H15NO2S;273;3.12;4.38;-5.60;3.58;0
Oc1c(O)cc(c(c1)C=C)C/C=C\C;28/000000053;InChI=1S/C12H14O2/c1-3-5-6-10-8-12(14)11(13)7-9(10)4-2/h3-5,7-8,13-14H,2,6H2,1H3/b5-3-;C12H14O2;190;2.70;4.41;-3.36;2.22;-20
Oc1c(O)cc(c(c1)C=C)C/C=C\Cc1cnc2c(c1)cn[nH]2;28/000000154;InChI=1S/C18H17N3O2/c1-2-13-8-16(22)17(23)9-14(13)6-4-3-5-12-7-15-11-20-21-18(15)19-10-12/h2-4,7-11,22-23H,1,5-6H2,(H,19,20,21)/b4-3-;C18H17N3O2;307;3.83;4.98;-5.59;5.09;-80
Oc1cc(c(cc1O)C=C)[C@@H](/C=C\CC[NH3+])c1nnc(s1)S;28/000000647;InChI=1S/C15H17N3O2S2/c1-2-9-7-12(19)13(20)8-11(9)10(5-3-4-6-16)14-17-18-15(21)22-14/h2-3,5,7-8,10,19-20H,1,4,6,16H2,(H,18,21)/p+1/b5-3-/t10-/m1/s1;C15H18N3O2S2;336;2.71;4.15;-5.98;25.00;-170
Oc1cc(c(cc1O)C=C)[C@@H](CBr)C=C;28/000000139;InChI=1S/C12H13BrO2/c1-3-8-5-11(14)12(15)6-10(8)9(4-2)7-13/h3-6,9,14-15H,1-2,7H2/t9-/m1/s1;C12H13O2Br;269;3.28;4.66;-5.12;3.58;-170
Oc1cc(c(cc1O)C=C)C/C=C/CC=S;28/000000363;InChI=1S/C13H14O2S/c1-2-10-8-12(14)13(15)9-11(10)6-4-3-5-7-16/h2-4,7-9,14-15H,1,5-6H2/b4-3+;C13H14O2S;234;2.56;4.05;-8.62;2.22;0
Oc1cc(c(cc1O)C=C)C/C=C\Cc1n[nH]nc1;28/000000253;InChI=1S/C14H15N3O2/c1-2-10-7-13(18)14(19)8-11(10)5-3-4-6-12-9-15-17-16-12/h2-4,7-9,18-19H,1,5-6H2,(H,15,16,17)/b4-3-;C14H15N3O2;257;3.28;4.20;-5.72;3.58;0
Oc1c(O)cc(c(c1)C=C)[C@H](/C=C/CNc1sccn1)F;28/000000593;InChI=1S/C15H15FN2O2S/c1-2-10-8-13(19)14(20)9-11(10)12(16)4-3-5-17-15-18-6-7-21-15/h2-4,6-9,12,19-20H,1,5H2,(H,17,18)/b4-3+/t12-/m0/s1;C15H15N2O2SF;306;2.46;4.56;-5.65;22.30;-170
Oc1cc(c(cc1O)C=C)[C@H](c1nnco1)F;28/000000231;InChI=1S/C11H9FN2O3/c1-2-6-3-8(15)9(16)4-7(6)10(12)11-14-13-5-17-11/h2-5,10,15-16H,1H2/t10-/m1/s1;C11H9N2O3F;236;2.47;4.01;-6.48;19.10;-150
Oc1c(O)cc(c(c1)C/C=C\Cc1cc(S)ccc1F)C=C;28/000000079;InChI=1S/C18H17FO2S/c1-2-12-10-17(20)18(21)11-13(12)5-3-4-6-14-9-15(22)7-8-16(14)19/h2-4,7-11,20-22H,1,5-6H2/b4-3-;C18H17O2SF;316;4.77;4.37;-5.96;3.58;-40
Oc1c(O)cc(c(c1)C=C)C/C=C\CO;28/000000205;InChI=1S/C12H14O3/c1-2-9-7-11(14)12(15)8-10(9)5-3-4-6-13/h2-4,7-8,13-15H,1,5-6H2/b4-3-;C12H14O3;206;1.66;4.04;-6.39;2.22;0
Oc1c(O)cc(c(c1)C=C)C/C=C\CO;28/000000206;InChI=1S/C12H14O3/c1-2-9-7-11(14)12(15)8-10(9)5-3-4-6-13/h2-4,7-8,13-15H,1,5-6H2/b4-3-;C12H14O3;206;1.66;4.02;-6.50;2.22;0
